x,y,yaw,s,km,kf
1.0,0.0,0.0,1.0,0.0,0.0
5.94594572626,-0.0266654055764,0.494217776523,5.9587160256,-0.000342768524503,0.481595376996
10.9826180918,-0.00851060894881,0.517912432081,11.0805134327,0.000890343573401,0.277507311847
16.0146685466,0.0161404372394,0.533259582235,16.152911244,0.000643866072155,0.194335250935
21.0524674802,0.0338645924863,0.534513174478,21.2197929695,0.0004210979887,0.147577326387
26.002627662,0.00324528712551,0.524320843088,26.2846456787,0.000307247467909,0.119086614596
6.02336809376,2.02628202601,0.512035041257,6.40434790225,0.153413234007,-0.131078509771
10.9834737955,1.98933850559,0.52158342273,11.2668982477,0.0487330981707,0.0832288279591
16.0016979977,2.00050249046,0.523713802998,16.250487223,0.0234211184161,0.0994271754253
20.9873751311,1.99159674941,0.522203826753,21.2898623014,0.0137349200272,0.093086655572
25.941268706,2.07641039606,0.529039215064,26.2146214647,0.00928568976106,0.083140515722
5.94515605503,3.95159985161,0.562500161981,7.59630880952,0.229861241085,-0.492708654428
11.0033222223,3.99865810233,0.522819682167,11.9862549844,0.0879882977493,-0.0924328477471
16.0394998274,4.02102642196,0.52400555268,16.7366052963,0.044397619943,0.010130406611
21.0423771783,4.02295997851,0.525507981127,21.6498965449,0.026447043067,0.039802494575
25.9922647324,3.99430576605,0.523143431194,26.5244453424,0.0174013741865,0.0484121294755
5.95226227407,5.96442506784,0.56291372576,9.38746686085,0.246621055487,-0.627753459897
11.0003075127,5.99445354202,0.524004657071,13.0729342362,0.114565102028,-0.220414479293
16.061406369,6.03314277828,0.518763511975,17.5040557313,0.0617807066408,-0.0683919967769
20.9669147382,5.97896846233,0.5239526912,22.1986596608,0.0378351954967,-0.0098974257538
26.0205570065,6.00995829269,0.523937575606,27.0315066056,0.0253388498668,0.014859675328
1.00164412606,7.99894170889,0.518162228752,11.7022499628,0.349936167824,-0.98706713497
5.93905433388,7.98800243725,0.463099761306,11.561648695,0.236473326397,-0.681396296809
11.0309695043,8.01192307552,0.513451973981,14.5175791858,0.129309372346,-0.299948270834
16.0045302929,7.99993992811,0.52306063254,18.5580671822,0.0750138794688,-0.131453522315
