pos_x , pos_y , pos_z , pos_d_x , pos_d_y , pos_d_z , pos_e_x , pos_e_y , pos_e_z , quat_x , quat_y , quat_z , quat_w , quat_d_x , quat_d_y , quat_d_z , quat_d_w , yaw , yaw_d , vel_x , vel_y , vel_z , vel_d_x , vel_d_y , vel_d_z , vel_e_x , vel_e_y , vel_e_z , acc_d_x , acc_d_y , acc_d_z , jerk_d_x , jerk_d_y , jerk_d_z , omega_d_x , omega_d_y , omega_d_z
0.000001 , 0.000008 , 0.060416 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.439584 , 0.000024 , 0.000005 , -0.000044 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000088 , 0.000000 , 0.000007 , -0.000054 , 0.165472 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.165472 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000001 , 0.000007 , 0.063900 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.436100 , 0.000017 , 0.000005 , -0.000048 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000096 , 0.000000 , 0.000009 , -0.000064 , 0.177027 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.177027 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000001 , 0.000005 , 0.067606 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.432393 , 0.000010 , 0.000006 , -0.000052 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000104 , 0.000000 , 0.000011 , -0.000071 , 0.188006 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.188006 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000001 , 0.000004 , 0.071524 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.428476 , 0.000003 , 0.000007 , -0.000056 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000112 , 0.000000 , 0.000014 , -0.000075 , 0.198431 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.198431 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000002 , 0.000002 , 0.075642 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.424358 , -0.000004 , 0.000009 , -0.000060 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000120 , 0.000000 , 0.000017 , -0.000075 , 0.208322 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.208322 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000002 , 0.000001 , 0.079950 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.420050 , -0.000011 , 0.000010 , -0.000064 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000128 , 0.000000 , 0.000020 , -0.000074 , 0.217676 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.217676 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000002 , -0.000001 , 0.084437 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.415563 , -0.000018 , 0.000011 , -0.000068 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000136 , 0.000000 , 0.000024 , -0.000069 , 0.226513 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.226513 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000003 , -0.000002 , 0.089093 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.410907 , -0.000025 , 0.000012 , -0.000072 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000143 , 0.000000 , 0.000029 , -0.000061 , 0.234856 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.234856 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000004 , -0.000003 , 0.093909 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.406091 , -0.000032 , 0.000014 , -0.000076 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000152 , 0.000000 , 0.000034 , -0.000050 , 0.242695 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.242695 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000004 , -0.000004 , 0.098874 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.401126 , -0.000040 , 0.000015 , -0.000080 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000159 , 0.000000 , 0.000040 , -0.000037 , 0.250068 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.250068 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
